Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C,23,TOR,12,245,13.9,.493,.304,.359,10.4,29.5,19.3,9.5,0.4,2.9,12.3,20.9,,0.1,0.3,0.3,.065,,-2.0,-1.8,-3.8,-0.1,achiupr01
2,Steven Adams,C,29,MEM,21,568,16.4,.549,.008,.504,20.0,23.7,21.9,11.5,1.5,3.5,23.8,14.2,,0.4,0.8,1.2,.102,,-1.1,0.2,-0.9,0.2,adamsst01
3,Bam Adebayo,C,25,MIA,21,734,19.3,.593,.028,.351,7.6,22.8,15.0,16.4,1.5,2.4,15.1,26.2,,0.8,1.0,1.9,.123,,-0.1,0.8,0.7,0.5,adebaba01
4,Ochai Agbaji,SG,22,UTA,8,72,9.1,.519,.333,.333,6.2,9.1,7.6,1.9,0.7,0.0,0.0,14.0,,0.1,0.0,0.1,.068,,-3.6,-2.6,-6.2,-0.1,agbajoc01
5,Santi Aldama,PF,22,MEM,21,530,14.1,.554,.479,.233,6.7,16.9,11.8,6.1,1.6,3.6,6.7,14.9,,0.7,0.7,1.4,.128,,-0.6,1.1,0.5,0.3,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,15,158,10.4,.509,.500,.161,2.1,7.6,4.9,18.6,2.4,2.0,15.5,18.8,,0.0,0.1,0.2,.046,,-2.9,-0.1,-3.1,0.0,alexani01
7,Grayson Allen,SG,27,MIL,19,515,14.6,.653,.629,.336,3.4,9.9,6.7,13.3,1.5,0.8,13.0,15.1,,1.1,0.6,1.7,.159,,0.8,0.7,1.6,0.5,allengr01
8,Jarrett Allen,C,24,CLE,17,544,18.2,.626,.013,.325,11.3,28.3,20.0,6.2,0.8,3.6,13.7,17.4,,1.0,1.1,2.0,.178,,0.4,1.3,1.7,0.5,allenja01
9,Jose Alvarado,PG,24,NOP,22,460,13.8,.565,.516,.112,2.4,10.1,6.3,22.3,2.7,0.8,15.5,18.4,,0.4,0.7,1.1,.114,,-0.9,1.3,0.4,0.3,alvarjo01
10,Kyle Anderson,PF,29,MIN,17,367,13.3,.589,.256,.317,3.7,15.9,10.0,16.8,2.1,3.2,18.4,13.1,,0.3,0.5,0.8,.102,,-0.5,1.6,1.1,0.3,anderky01
