RK,TEAM,Short Form,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Boston Celtics,BOS,22,121.9,43.1,86.5,49.8,17,41.6,40.8,18.7,22,85.3,8,33.6,41.6,27.5,5.9,5.1,12.9,20.6
2,Sacramento Kings,SAC,20,119.9,43.2,87.5,49.3,13.7,37.4,36.6,19.9,24.9,79.9,8.2,33.7,41.9,27.9,7.1,3.3,14.8,21.1
3,Golden State Warriors,GSW,22,117.5,43.1,89.3,48.2,16.1,42.9,37.6,15.2,18.9,80.5,9.1,33.5,42.6,29.7,7.3,4,16.5,23
4,New Orleans Pelicans,NOP,21,117.1,43.5,89.5,48.6,11.5,30.4,37.9,18.5,23.6,78.6,11.6,33.6,45.2,27.1,8.8,4.4,14.5,19.6
5,Utah Jazz,UTA,24,117,42.8,90,47.5,14.7,39.5,37.2,16.8,21.8,77.2,12.1,31.9,44,27.3,7.3,5,15.1,21.3
6,Oklahoma City Thunder,OKC,22,116,43.8,94.8,46.2,11.5,34.4,33.6,16.9,21.6,78.3,12.1,32.6,44.7,24.1,8,6,13.3,22
7,Phoenix Suns,PHO,21,115.8,43.3,90.8,47.7,12.3,32.9,37.5,16.8,20.6,81.5,11.7,31.8,43.5,27,7.4,5.9,12.8,21.8
8,Indiana Pacers,IND,21,115.6,40.9,90.8,45,14.6,40.8,35.7,19.3,24.3,79.5,10.9,32.8,43.7,28,8,6.5,14.9,21.6
9,Denver Nuggets,DEN,21,115.4,43.2,86.7,49.8,12.5,30.9,40.4,16.6,22,75.5,10.5,33.1,43.6,28,7.1,4.4,14.3,19.7
10,New York Knicks,NYK,22,115.2,42.3,92.7,45.6,11,34.4,31.8,19.7,24.8,79.6,12.9,33.6,46.5,24,7,4.7,12.8,22.3
11,Memphis Grizzlies,MEM,21,115,42.7,92.6,46.1,12.3,33.9,36.2,17.3,25,69.3,14,34.7,48.7,24.2,6.8,5.1,14.1,20.1
12,Minnesota Timberwolves,MIN,22,114.4,42,87.5,48.1,11.1,34.2,32.6,19.1,24.2,79.1,9.7,33.4,43.1,26.5,8,5.7,15.9,22.2
13,Atlanta Hawks,ATL,22,113.9,43.1,92.6,46.5,9.6,29.6,32.5,18.1,21.9,82.7,11,33.6,44.6,23.8,7.4,4.9,12.7,20.2
14,Los Angeles Lakers,LAL,20,113.1,41.4,88.7,46.6,9.9,30.4,32.4,20.6,25.6,80.3,9.7,36.2,45.8,24.3,6.9,5.3,14.7,19.1
15,Cleveland Cavaliers,CLE,22,112.9,40.7,84.9,48,12.1,31.5,38.5,19.3,24,80.6,10,33.7,43.7,23.8,6.2,4.1,14.3,19.8
16,Milwaukee Bucks,MIL,20,112.3,41,89.8,45.6,13,37.3,34.9,17.4,24.2,71.9,11.9,36.9,48.8,24.5,7,6.4,13.9,19.3
17,Chicago Bulls,CHI,21,112,41.1,87.4,47.1,10.2,28.9,35.4,19.5,23.5,83.2,9.9,33.1,43,24.5,7.5,5.4,14,20
18,Brooklyn Nets,BRK,23,111.6,41.2,83.1,49.6,12,32,37.4,17.2,21.3,80.6,7.3,32.7,40,26.3,7,7.3,13.8,22.1
19,Toronto Raptors,TOR,21,110.7,40.5,90.9,44.6,10.9,32.9,33.1,18.7,24,78.1,13,30.7,43.7,23.2,10.2,5.7,12.7,20.5
20,San Antonio Spurs,SAS,22,110.6,42.1,91.4,46.1,11.9,34.3,34.7,14.5,20,72.1,12.1,30.3,42.4,28.3,7.4,4.3,16.1,19.6
21,Washington Wizards,WAS,22,110.4,41.3,87.4,47.2,10.9,31.8,34.1,17,22,77.2,9.4,34.8,44.2,24.9,6.5,6,12.9,19.9
22,Houston Rockets,HOU,21,109.8,38.8,87.7,44.2,12.7,36.1,35.1,19.6,25.3,77.6,13.3,32.8,46,21.8,7.7,4.9,17.1,21
23,Portland Trail Blazers,POR,22,109.8,39,83.6,46.6,12,31.5,38,19.8,25.7,77,10.6,32.3,42.9,23.6,6.6,4.1,14.4,19.7
24,Dallas Mavericks,DAL,20,109.4,38.7,82.7,46.7,13.6,39.4,34.4,18.6,25.5,72.7,7.7,30.5,38.2,21.2,8.1,3.3,12.5,20.7
25,Charlotte Hornets,CHO,21,109.2,41.3,92.6,44.6,10.4,32.5,32,16.2,22.3,72.7,12.6,32.9,45.5,25.3,7.6,5,14.8,21
26,Detroit Pistons,DET,23,109.1,38.7,87.3,44.3,10.7,32.3,33.2,21,27,77.9,11.3,30.9,42.2,21.4,6.7,4,13.9,22.8
27,Miami Heat,MIA,22,109,38.8,86,45.1,12,35.4,33.8,19.5,22.9,85.1,9.4,31.5,40.8,24.1,7.5,3.5,13.4,19.1
28,Orlando Magic,ORL,22,108.3,39.2,83.6,46.9,10.6,31.5,33.8,19.2,24.5,78.6,10,32.9,42.8,21.2,6.2,5.4,16,21.2
28,Philadelphia 76ers,PHI,22,108.3,39,82.5,47.2,11.8,32,36.9,18.6,23,80.8,8.1,31.7,39.9,23.3,8.5,4.6,13.8,19.4
30,LA Clippers,LAC,23,107.2,39.2,82.9,47.3,11.3,31.3,35.9,17.5,23.6,74.2,8.6,34.5,43,22.7,6.7,4.8,15.2,20.2
